,file_id,user_id,subforum_id,num_contexts,label,text,new_label,textidx,lengths
0,12834217_1,572066,1346,0,noHate,"as of march 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",1,"[35, 9, 520, 3992, 4, 1452, 4, 3, 1838, 94, 88, 2455, 129, 5087, 210, 7, 3993, 2]",18
1,12834217_2,572066,1346,0,noHate,"in order to help increase the booklets downloads , it would be great if all stormfronters who had youtube accounts , could display the following text in the description boxes of their uploaded youtube videos .",1,"[10, 703, 6, 321, 3994, 3, 5088, 2456, 4, 12, 61, 32, 142, 39, 31, 3995, 66, 94, 67, 2813, 4, 134, 2229, 3, 1069, 965, 10, 3, 2017, 3286, 9, 42, 3287, 67, 460, 2]",36
2,12834217_3,572066,1346,0,noHate,( simply copy and paste the following text into your youtube videos description boxes. ),1,"[56, 806, 1292, 7, 3288, 3, 1069, 965, 130, 50, 67, 460, 2017, 3286, 2, 54]",16
3,12834217_4,572066,1346,0,hate,click below for a free download of a colorfully illustrated 132 page e-book on the zionist-engineered intentional destruction of western civilization .,2,"[632, 832, 16, 8, 222, 807, 9, 8, 5089, 5090, 5091, 551, 731, 15, 501, 19, 3, 1114, 15, 3996, 3289, 1453, 9, 589, 874, 2]",26
4,12834217_5,572066,1346,0,noHate,click on the `` download ( 7.42 mb ) '' green banner link .,1,"[632, 19, 3, 26, 26, 807, 56, 7377, 3997, 54, 63, 604, 2814, 341, 2]",15
5,12834217_6,572066,1346,0,noHate,"booklet updated on feb. 14th , 2014 .",1,"[1838, 1664, 19, 2457, 2, 5092, 4, 1452, 2]",9
6,12834217_7,572066,1346,0,noHate,"( now with over 18,300 downloads. )",1,"[56, 112, 27, 129, 5087, 2456, 2, 54]",8
7,12834217_8,572066,1346,0,noHate,pdf file : http://www.mediafire.com/download/7p3p3goadvvqvsf/wndebatebooklet_2-14-14.pdfmswordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/wndebatebooklet _ 2-14-14.docx watch the 10 hour video version of `` the zionist attack on western civilization '' @ http://trutube.tv/video/14247/the-zionist-attack-on-western-civilization-pages-1-33-part-1-of-4-banned-from-youtubenotepadpromotionalyoutubecomment:http://www.mediafire.com/download/96fg6ft02lyfruz/booklet _ white _ yt _ comment _ ( hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/booklet-white-yt-comment- ( hyperlinked-back-up % 5d.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/booklet+comment+%28firefox%29.txt2minutepromotionalbookletvideo@http://www.youtube.com/watch ? v = _ 8hg254alpm are you interested in helping spread the booklet download link across the world ?,1,"[1839, 1367, 43, 7378, 228, 7379, 181, 3, 535, 875, 145, 853, 9, 26, 26, 3, 1114, 382, 19, 589, 874, 63, 1368, 5093, 228, 23, 228, 2018, 228, 854, 228, 56, 3290, 54, 5094, 5095, 72, 807, 72, 5096, 72, 1838, 15, 23, 15, 2018, 15, 5097, 56, 3290, 15, 102, 15, 59, 150, 5098, 7380, 21, 552, 137, 228, 7381, 17, 14, 633, 10, 1840, 750, 3, 1838, 807, 341, 482, 3, 171, 21]",76
8,12834217_9,572066,1346,0,noHate,then why not simply copy this text ( & links ) and paste it into the description box of your youtube videos ?,1,"[95, 164, 33, 806, 1292, 22, 965, 56, 132, 1229, 54, 7, 3288, 12, 130, 3, 2017, 1841, 9, 50, 67, 460, 21]",23
9,12834217_10,572066,1346,0,noHate,thank you in advance. : ) download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/booklet-description-box _ info.txt,1,"[216, 14, 10, 2019, 2, 43, 54, 807, 3, 67, 26, 26, 2017, 1841, 63, 605, 965, 1367, 832, 1368, 7382, 228, 7383]",23
10,12834493_1,572058,1396,0,hate,"she may or may not be a jew but she 's certainly stupid , she seems to think the blacks wo n't kill her alongside every other white they can get their dirty hands on , what a muppet !",2,"[127, 285, 38, 285, 33, 32, 8, 251, 34, 127, 25, 1004, 371, 4, 127, 403, 6, 92, 3, 135, 471, 41, 606, 97, 5099, 140, 89, 23, 20, 57, 64, 42, 590, 683, 19, 4, 69, 8, 7384, 24]",40
11,12843221_1,575003,1396,0,noHate,thank you for the info. i will deffinetly look into them .,1,"[216, 14, 16, 3, 605, 2, 5, 47, 7385, 147, 130, 53, 2]",13
12,12843221_2,575003,1396,0,noHate,i hope there is room for one more as i am very excited about this .,1,"[5, 163, 40, 11, 1168, 16, 62, 77, 35, 5, 136, 118, 2815, 55, 22, 2]",16
13,12845600_1,575437,1396,0,noHate,i just came across this piece of garbage .,1,"[5, 44, 311, 482, 22, 1115, 9, 1070, 2]",9
14,12845600_2,575437,1396,0,noHate,comments say she is from sa .,1,"[1071, 106, 127, 11, 48, 1369, 2]",7
15,12845600_3,575437,1396,0,noHate,warning : graphic .,1,"[1665, 43, 2816, 2]",4
16,12845600_4,575437,1396,0,noHate,die antwoord - `` cookie thumper '' ( official video ) - youtube,1,"[607, 3998, 15, 26, 26, 5100, 7386, 63, 56, 1370, 145, 54, 15, 67]",14
17,12845808_1,572287,1396,1,noHate,the whites are more in the range of 4.8 million .,1,"[3, 84, 17, 77, 10, 3, 1666, 9, 7387, 833, 2]",11
